,Open,High,Low,Close,Adj Close,Volume
2021-07-12 13:00:00+02:00,177.5,177.5,176.5,176.5,176.5,6
2021-07-12 15:00:00+02:00,173.5,173.5,173.0,173.0,173.0,266
2021-07-13 13:00:00+02:00,175.0,175.0,175.0,175.0,175.0,0
2021-07-13 14:00:00+02:00,175.0,175.0,175.0,175.0,175.0,129
2021-07-14 09:00:00+02:00,173.0,175.0,173.0,175.0,175.0,0
2021-07-14 11:00:00+02:00,175.0,175.0,175.0,175.0,175.0,9685
2021-07-15 09:00:00+02:00,176.0,176.0,173.0,173.0,173.0,310
2021-07-15 10:00:00+02:00,176.0,176.0,174.5,175.0,175.0,70020
2021-07-15 11:00:00+02:00,175.0,175.0,175.0,175.0,175.0,2000
2021-07-15 13:00:00+02:00,176.0,176.0,176.0,176.0,176.0,6
2021-07-15 15:00:00+02:00,176.0,176.0,176.0,176.0,176.0,54
2021-07-16 09:00:00+02:00,176.0,176.0,176.0,176.0,176.0,10
2021-07-16 10:00:00+02:00,175.5,176.0,175.5,176.0,176.0,600
2021-07-16 11:00:00+02:00,172.0,172.0,172.0,172.0,172.0,78
2021-07-16 12:00:00+02:00,174.5,174.5,174.5,174.5,174.5,702
2021-07-16 15:00:00+02:00,180.0,180.0,175.0,175.0,175.0,60
2021-07-16 16:00:00+02:00,175.0,175.0,175.0,175.0,175.0,540
